NORDEMP,n_anios,anio_min,anio_max,anios_observados_txt,anios_faltantes_txt
142659,13,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2024","2022,2023"
142671,3,2010,2014,"2010,2011,2014","2012,2013"
142697,14,2010,2024,"2010,2011,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2012
142734,4,2012,2017,"2012,2013,2014,2017","2015,2016"
142753,6,2010,2016,"2010,2011,2012,2013,2014,2016",2015
142754,11,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2023,2024","2019,2020,2021,2022"
142761,12,2011,2024,"2011,2012,2014,2015,2016,2017,2018,2020,2021,2022,2023,2024","2013,2019"
142763,14,2010,2024,"2010,2011,2012,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2013
142765,9,2010,2024,"2010,2011,2012,2019,2020,2021,2022,2023,2024","2013,2014,2015,2016,2017,2018"
142766,14,2010,2024,"2010,2011,2012,2013,2014,2015,2017,2018,2019,2020,2021,2022,2023,2024",2016
142791,5,2011,2016,"2011,2012,2013,2015,2016",2014
142841,13,2010,2023,"2010,2011,2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023",2018
142867,12,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2018,2019,2020,2021,2022",2017
142876,6,2010,2016,"2010,2011,2012,2014,2015,2016",2013
142878,13,2010,2024,"2010,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024","2011,2012"
142900,14,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2018,2019,2020,2021,2022,2023,2024",2017
142904,2,2011,2014,"2011,2014","2012,2013"
142916,13,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2024","2022,2023"
142917,12,2010,2024,"2010,2012,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024","2011,2013,2014"
142982,7,2013,2021,"2013,2016,2017,2018,2019,2020,2021","2014,2015"
142987,13,2011,2024,"2011,2012,2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",2015
143007,11,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2023,2024","2019,2020,2021,2022"
143026,3,2012,2016,"2012,2013,2016","2014,2015"
143030,14,2010,2024,"2010,2011,2012,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2013
143032,14,2010,2024,"2010,2011,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2012
