fuente,anio,archivo_zip,archivo_dta,variable,label_dta
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R9C1,Otros gastos del personal no incluidos antes  - Producción  - Obreros
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R9C2,Otros gastos del personal no incluidos antes  - Administrativos
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R9C3,Total  Otros gastos del personal no incluidos antes
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R10PT,Costos y Gastos Causados pro el Personal Ocupado  - Producción  - Profesional Te
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R10C1,Costos y Gastos Causados pro el Personal Ocupado  - Producción  - Obreros
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R10C2,Costos y Gastos Causados pro el Personal Ocupado  - Administrativos
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R10C3,Total  Costos y Gastos Causados pro el Personal Ocupado
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R44C2,Costo de venta de productos no fabricados por el establecimiento - Administrativ
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R44C3,Total Costo de venta de productos no fabricados por el establecimiento
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R40C2,"Costo de venta de materias primas, materiales y empaques vendidos sin transforma"
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R40C3,"Total Costo de venta de materias primas, materiales y empaques vendidos sin tran"
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R14C1,Costos y gastos de productos y servicios industriales elaborados por terceros -
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R14C3,Total Costos y gastos de productos y servicios industriales elaborados por terce
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R41C1,Costos y gastos por servicios contratados con terceros (outsoursing)- Producción
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R41C2,Costos y gastos por servicios contratados con terceros (outsoursing)-  Administr
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R41C3,Total Costos y gastos por servicios contratados con terceros (outsoursing)
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R13C1,Muestras gratis - Producción
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R13C2,Muestras gratis - Administración y ventas
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R13C3,Total Muestras gratis
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R45C2,Costos y gastos de transporte de productos - Administración y ventas
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R45C3,Total Costos y gastos de transporte de productos
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R15C1,Honorarios y servicios técnicos - producción
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R15C2,Honorarios y servicios técnicos - Administración y ventas
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R15C3,Total Honorarios y servicios técnicos
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R16C1,Arrendamiento de bienes inmuebles - Producción
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R16C2,Arrendamiento de bienes inmuebles - Administración y ventas
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R16C3,Total  Arrendamiento de bienes inmuebles
