variable_nueva,codigo_eam,descripcion,base,pct_na_2022,pct_cero_2022
honorarios_administracion_c3r15c2,C3R15C2,Honorarios y servicios técnicos - Administración y ventas,firma,0,13.17
honorarios_produccion_c3r15c1,C3R15C1,Honorarios y servicios técnicos - producción,firma,0,47.95
honorarios_total_c3r15c3,C3R15C3,Total Honorarios y servicios técnicos,firma,0,9.46
impuesto_4x1000_c3r25c3,C3R25C3,Total Impuesto del 4 x 1 000,firma,0,6.64
industria_comercio_c3r37c3,C3R37C3,Total Impuestos de industria y comercio,firma,0,1.81
ingresos_cert_c2r5cert,C2R5CERT,Ingresos por cert causados en el año.,firma,0.21,87.88
intereses_c3r31c3,C3R31C3,Total Intereses causados sobre préstamos,firma,0,25.8
inventario_total_fin_c6r5c3,C6R5C3,Total Inventarios al final del año actual,firma,0,14.89
inventario_total_inicio_c6r5c1,C6R5C1,Total Inventarios al final del año anterior-,firma,0,11.32
inversion_bruta_invebrta,INVEBRTA,Inversión Bruta,firma,0,32.04
inversion_edificios_c7r5c2,C7R5C2,Total inversiones en activos fijos - Edificios y estructuras,firma,0,72.71
inversion_informatica_c7c4r8,C7C4R8,Total inversiones en activos fijos -Equipo de informática y comunicación,firma,0,49.24
inversion_maquinaria_c7r6c2,C7R6C2,Total inversiones en activos fijos - Maquinaria y equipo Industrial,firma,0,42.74
inversion_oficina_c7c5r8,C7C5R8,Total inversiones en activos fijos -Equipos de oficina,firma,0,60.07
inversion_terrenos_c7r1c2,C7R1C2,Total inversiones en activos fijos - Terrenos,firma,0,93.47
inversion_total_c7r10c2,C7R10C2,Total  inversiones en activos fijos,firma,0,33.11
inversion_transporte_c7r8c2,C7R8C2,Total inversiones en activos fijos -Equipo de transporte,firma,0,75.04
leasing_edificios_c7c2r19,C7C2R19,Leasing Financiero - Edificios y estructuras,firma,0,98
leasing_informatica_c7c4r19,C7C4R19,Leasing Financiero -Equipo de informática y comunicación,firma,0,99.3
leasing_maquinaria_c7c3r19,C7C3R19,Leasing Financiero - Maquinaria y equipo Industrial,firma,0,95.51
leasing_oficina_c7c5r19,C7C5R19,Leasing Financiero -Equipos de oficina,firma,0,99.69
