termino,anio,beta,ee,ic_inf,ic_sup,muestra,outcome,medida
ANIO_F::2021:bite_de,2021,-0.3541206601370932,0.8522655596755098,-2.0245611571010924,1.316319836826906,completa,empleo_permanente,bite_de
referencia,2022,0,0,0,0,completa,empleo_permanente,bite_de
ANIO_F::2023:bite_de,2023,-1.1491720695691783,0.8795512063274407,-2.873092433970962,0.5747482948326055,completa,empleo_permanente,bite_de
ANIO_F::2024:bite_de,2024,-1.0248852634447867,1.0606716449440607,-3.1038016875351455,1.0540311606455721,completa,empleo_permanente,bite_de
ANIO_F::2015:exposure_de,2015,-1.6547673987104385,0.8561070306110952,-3.332737178708185,0.023202381287307894,completa,empleo_temporal,exposure_de
ANIO_F::2016:exposure_de,2016,-2.5669486086571567,0.7711691526906542,-4.078440147930839,-1.0554570693834744,completa,empleo_temporal,exposure_de
ANIO_F::2017:exposure_de,2017,-2.3950861605880984,0.7514054824659768,-3.8678409062214127,-0.9223314149547839,completa,empleo_temporal,exposure_de
ANIO_F::2018:exposure_de,2018,-1.3207316151213455,0.6707142027220643,-2.635331452456591,-0.006131777786099635,completa,empleo_temporal,exposure_de
ANIO_F::2019:exposure_de,2019,-1.6375287001624173,0.7420959662883916,-3.0920367940876647,-0.18302060623716976,completa,empleo_temporal,exposure_de
ANIO_F::2021:exposure_de,2021,0.1208233457704877,0.4842620076998728,-0.828330189321263,1.0699768808622383,completa,empleo_temporal,exposure_de
referencia,2022,0,0,0,0,completa,empleo_temporal,exposure_de
ANIO_F::2023:exposure_de,2023,-0.8988178485906999,0.4367482398920936,-1.7548443987792033,-0.04279129840219642,completa,empleo_temporal,exposure_de
ANIO_F::2024:exposure_de,2024,-0.6510204986041532,0.6691059261277715,-1.9624681138145854,0.660427116606279,completa,empleo_temporal,exposure_de
ANIO_F::2015:bite_de,2015,5.395962979287381,1.4499914278783967,2.553979780645723,8.23794617792904,completa,empleo_temporal,bite_de
ANIO_F::2016:bite_de,2016,5.104074332377529,1.248520108713013,2.656974919300023,7.551173745455035,completa,empleo_temporal,bite_de
ANIO_F::2017:bite_de,2017,4.695460055895646,1.224548238402406,2.2953455086269305,7.095574603164362,completa,empleo_temporal,bite_de
ANIO_F::2018:bite_de,2018,3.53382630574558,1.0347101281960105,1.5057944544813995,5.561858157009761,completa,empleo_temporal,bite_de
ANIO_F::2019:bite_de,2019,2.8690898828930393,0.8897256857436309,1.1252275388355228,4.612952226950556,completa,empleo_temporal,bite_de
ANIO_F::2021:bite_de,2021,1.3872933067689472,0.6297981698134824,0.15288889393452187,2.6216977196033726,completa,empleo_temporal,bite_de
referencia,2022,0,0,0,0,completa,empleo_temporal,bite_de
ANIO_F::2023:bite_de,2023,0.08574808700018544,0.7408550528339546,-1.3663278165543655,1.5378239905547364,completa,empleo_temporal,bite_de
ANIO_F::2024:bite_de,2024,0.23254184609590123,0.9026692511466243,-1.5366898861514824,2.001773578343285,completa,empleo_temporal,bite_de
ANIO_F::2015:exposure_de,2015,1.6045123488567485,0.449825449486673,0.7228544678628694,2.486170229850628,completa,participacion_permanente,exposure_de
ANIO_F::2016:exposure_de,2016,1.453780768638582,0.43040499626095347,0.6101869759671132,2.2973745613100505,completa,participacion_permanente,exposure_de
ANIO_F::2017:exposure_de,2017,1.5505003064584146,0.4209371255060666,0.7254635404665241,2.3755370724503053,completa,participacion_permanente,exposure_de
ANIO_F::2018:exposure_de,2018,1.2894269107075782,0.37832496912492247,0.5479099712227302,2.0309438501924264,completa,participacion_permanente,exposure_de
ANIO_F::2019:exposure_de,2019,1.1586168861780652,0.3400023725125619,0.492212236053444,1.8250215363026865,completa,participacion_permanente,exposure_de
ANIO_F::2021:exposure_de,2021,0.4510120632046395,0.220136784396838,0.01954396578683698,0.882480160622442,completa,participacion_permanente,exposure_de
referencia,2022,0,0,0,0,completa,participacion_permanente,exposure_de
ANIO_F::2023:exposure_de,2023,0.6959844515219362,0.20454801827360342,0.29507033570567354,1.096898567338199,completa,participacion_permanente,exposure_de
ANIO_F::2024:exposure_de,2024,0.4843244847539401,0.2629470869828927,-0.031051805732529636,0.9997007752404098,completa,participacion_permanente,exposure_de
ANIO_F::2015:bite_de,2015,-4.224971035716834,0.561821123379066,-5.326140437539803,-3.123801633893865,completa,participacion_permanente,bite_de
ANIO_F::2016:bite_de,2016,-4.058482921791791,0.5195694918366638,-5.076839125791652,-3.0401267177919298,completa,participacion_permanente,bite_de
ANIO_F::2017:bite_de,2017,-3.274728897182296,0.5091438593166461,-4.272650861442923,-2.27680693292167,completa,participacion_permanente,bite_de
ANIO_F::2018:bite_de,2018,-2.7533550068052914,0.46426540016714096,-3.6633151911328876,-1.8433948224776953,completa,participacion_permanente,bite_de
ANIO_F::2019:bite_de,2019,-2.0254311827916687,0.43292161579651967,-2.873957549752847,-1.1769048158304902,completa,participacion_permanente,bite_de
