NORDEST,n_anios,n_dptos_distintos,secuencia,patron,anio_cambio,dpto_antes,dpto_despues
143221,15,2,2010:11 | 2011:11 | 2012:11 | 2013:25 | 2014:25 | 2015:25 | 2016:25 | 2017:25 | 2018:25 | 2019:25 | 2020:25 | 2021:25 | 2022:25 | 2023:25 | 2024:25,cambio_sostenido,2013,11,25
143250,15,2,2010:11 | 2011:11 | 2012:66 | 2013:66 | 2014:66 | 2015:66 | 2016:66 | 2017:66 | 2018:66 | 2019:66 | 2020:66 | 2021:66 | 2022:66 | 2023:66 | 2024:66,cambio_sostenido,2012,11,66
143289,15,2,2010:11 | 2011:25 | 2012:25 | 2013:25 | 2014:25 | 2015:25 | 2016:25 | 2017:25 | 2018:25 | 2019:25 | 2020:25 | 2021:25 | 2022:25 | 2023:25 | 2024:25,cambio_sostenido,2011,11,25
143318,2,2,2010:11 | 2011:25,cambio_sostenido,2011,11,25
143320,15,2,2010:11 | 2011:11 | 2012:11 | 2013:11 | 2014:11 | 2015:11 | 2016:11 | 2017:11 | 2018:11 | 2019:25 | 2020:25 | 2021:25 | 2022:25 | 2023:25 | 2024:25,cambio_sostenido,2019,11,25
143331,15,2,2010:11 | 2011:11 | 2012:11 | 2013:11 | 2014:11 | 2015:11 | 2016:11 | 2017:11 | 2018:25 | 2019:11 | 2020:11 | 2021:11 | 2022:11 | 2023:11 | 2024:11,salto_aislado,2018,11,25
143432,14,2,2011:13 | 2012:13 | 2013:13 | 2014:13 | 2015:13 | 2016:13 | 2017:13 | 2018:13 | 2019:13 | 2020:13 | 2021:8 | 2022:8 | 2023:8 | 2024:8,cambio_sostenido,2021,13,8
143554,15,2,2010:25 | 2011:25 | 2012:11 | 2013:11 | 2014:11 | 2015:11 | 2016:11 | 2017:11 | 2018:11 | 2019:11 | 2020:11 | 2021:11 | 2022:11 | 2023:11 | 2024:11,cambio_sostenido,2012,25,11
143592,14,2,2010:11 | 2012:11 | 2013:25 | 2014:25 | 2015:25 | 2016:25 | 2017:11 | 2018:11 | 2019:11 | 2020:11 | 2021:11 | 2022:11 | 2023:11 | 2024:11,patron_irregular,NA,NA,NA
143602,2,2,2010:11 | 2011:73,cambio_sostenido,2011,11,73
143627,6,2,2010:11 | 2011:25 | 2012:25 | 2013:11 | 2014:11 | 2015:11,patron_irregular,NA,NA,NA
143629,15,2,2010:11 | 2011:11 | 2012:11 | 2013:11 | 2014:11 | 2015:11 | 2016:25 | 2017:25 | 2018:25 | 2019:25 | 2020:25 | 2021:25 | 2022:25 | 2023:25 | 2024:25,cambio_sostenido,2016,11,25
143636,15,2,2010:11 | 2011:11 | 2012:11 | 2013:11 | 2014:11 | 2015:11 | 2016:11 | 2017:11 | 2018:25 | 2019:25 | 2020:25 | 2021:25 | 2022:25 | 2023:25 | 2024:25,cambio_sostenido,2018,11,25
143637,3,2,2011:11 | 2012:11 | 2013:47,cambio_sostenido,2013,11,47
143638,15,2,2010:11 | 2011:17 | 2012:17 | 2013:17 | 2014:17 | 2015:17 | 2016:17 | 2017:17 | 2018:17 | 2019:17 | 2020:17 | 2021:17 | 2022:17 | 2023:17 | 2024:17,cambio_sostenido,2011,11,17
143649,15,2,2010:11 | 2011:11 | 2012:11 | 2013:11 | 2014:11 | 2015:11 | 2016:11 | 2017:11 | 2018:11 | 2019:25 | 2020:25 | 2021:25 | 2022:25 | 2023:25 | 2024:25,cambio_sostenido,2019,11,25
143682,15,2,2010:11 | 2011:11 | 2012:25 | 2013:25 | 2014:25 | 2015:25 | 2016:25 | 2017:25 | 2018:25 | 2019:25 | 2020:25 | 2021:25 | 2022:25 | 2023:25 | 2024:25,cambio_sostenido,2012,11,25
