variable,label_dta,descripcion_diccionario,descripcion_final,aparece_en_anios
C4R2C8E,Temporal contratado  a través de empresas especializadas - Hombre  - Producción,NA,Temporal contratado  a través de empresas especializadas - Hombre  - Producción,17
C4R2C9E,Total Personal Ocupado  - Mujer -  Producción - Producción - Profesional Tecnólo,NA,Total Personal Ocupado  - Mujer -  Producción - Producción - Profesional Tecnólo,17
C4R3C1,Temporal contratado directamente por el establecimiento - Mujer  - Producción-,NA,Temporal contratado directamente por el establecimiento - Mujer  - Producción-,17
C4R3C2,Temporal contratado directamente por el establecimiento - Hombre  - Producción-,NA,Temporal contratado directamente por el establecimiento - Hombre  - Producción-,17
C4R3C3,Temporal contratado directamente por el establecimiento - Mujer  - Administrati,NA,Temporal contratado directamente por el establecimiento - Mujer  - Administrati,17
C4R3C4,Temporal contratado directamente por el establecimiento - Hombre  - Administrat,NA,Temporal contratado directamente por el establecimiento - Hombre  - Administrat,17
C4R4C1,Temporal contratado  a través de empresas especializadas - Mujer  - Producción-,NA,Temporal contratado  a través de empresas especializadas - Mujer  - Producción-,17
C4R4C10T,Total Personal Ocupado Hombre,NA,Total Personal Ocupado Hombre,17
C4R4C1T,"Propietarios, socios y familiares (sin remuneración fija) Total personal ocupad",NA,"Propietarios, socios y familiares (sin remuneración fija) Total personal ocupad",17
C4R4C2,Temporal contratado  a través de empresas especializadas - Hombre  - Producción,NA,Temporal contratado  a través de empresas especializadas - Hombre  - Producción,17
C4R4C2T,"Propietarios, socios y familiares (sin remuneración fija) Total personal ocupad",NA,"Propietarios, socios y familiares (sin remuneración fija) Total personal ocupad",17
C4R4C3,Temporal contratado  a través de empresas especializadas - Mujer  - Administrat,NA,Temporal contratado  a través de empresas especializadas - Mujer  - Administrat,17
C4R4C3T,Personal permanente (contrato a término indefinido) - Mujer-  Total Personal ocu,NA,Personal permanente (contrato a término indefinido) - Mujer-  Total Personal ocu,17
C4R4C4,Temporal contratado  a través de empresas especializadas - Hombre  - Administra,NA,Temporal contratado  a través de empresas especializadas - Hombre  - Administra,17
C4R4C4T,Personal permanente (contrato a término indefinido) - hombre-  Total Personal oc,NA,Personal permanente (contrato a término indefinido) - hombre-  Total Personal oc,17
C4R4C5T,Temporal contratado directamente por el establecimiento - Mujer  -Total Persona,NA,Temporal contratado directamente por el establecimiento - Mujer  -Total Persona,17
C4R4C6T,Temporal contratado directamente por el establecimiento - Hombre  - Total Perso,NA,Temporal contratado directamente por el establecimiento - Hombre  - Total Perso,17
C4R4C7T,Temporal contratado  a través de empresas especializadas - Mujer  -Total Person,NA,Temporal contratado  a través de empresas especializadas - Mujer  -Total Person,17
C4R4C8T,Temporal contratado  a través de empresas especializadas - Hombre  - Total Pers,NA,Temporal contratado  a través de empresas especializadas - Hombre  - Total Pers,17
C4R4C9T,Total Personal Ocupado Mujer,NA,Total Personal Ocupado Mujer,17
C4R5C1,Total Personal Ocupado  - Mujer -  Producción - Obrero,NA,Total Personal Ocupado  - Mujer -  Producción - Obrero,17
C4R5C2,Total Personal Ocupado  - Hombre -  Producción - Obrero,NA,Total Personal Ocupado  - Hombre -  Producción - Obrero,17
C4R5C3,Total Personal Ocupado  - Mujer -  Producción - Administrativo,NA,Total Personal Ocupado  - Mujer -  Producción - Administrativo,17
C4R5C4,Total Personal Ocupado  - Hombre -  Producción - Administrativo,NA,Total Personal Ocupado  - Hombre -  Producción - Administrativo,17
C4R6DH,Aprendices y pasantes (Ley 789 de 2002) - Hombre  - Administrativo,NA,Aprendices y pasantes (Ley 789 de 2002) - Hombre  - Administrativo,17
C4R6DM,Aprendices y pasantes (Ley 789 de 2002) - Mujer  - Administrativo,NA,Aprendices y pasantes (Ley 789 de 2002) - Mujer  - Administrativo,17
C4R6HE,Aprendices y pasantes (Ley 789 de 2002) - Hombre  - Producción- Profesional Tec,NA,Aprendices y pasantes (Ley 789 de 2002) - Hombre  - Producción- Profesional Tec,17
C4R6HN,Aprendices y pasantes (Ley 789 de 2002) - Hombre  - Producción- Profesional Tec,NA,Aprendices y pasantes (Ley 789 de 2002) - Hombre  - Producción- Profesional Tec,17
C4R6ME,Aprendices y pasantes (Ley 789 de 2002) - Mujer  - Producción- Profesional Tecn,NA,Aprendices y pasantes (Ley 789 de 2002) - Mujer  - Producción- Profesional Tecn,17
C4R6MN,Aprendices y pasantes (Ley 789 de 2002) - Mujer  - Producción- Profesional Tecn,NA,Aprendices y pasantes (Ley 789 de 2002) - Mujer  - Producción- Profesional Tecn,17
C4R6OH,Aprendices y pasantes (Ley 789 de 2002) - Hombre  - Producción- Obrero,NA,Aprendices y pasantes (Ley 789 de 2002) - Hombre  - Producción- Obrero,17
C4R6OM,Aprendices y pasantes (Ley 789 de 2002) - Mujer  - Producción- Obrero,NA,Aprendices y pasantes (Ley 789 de 2002) - Mujer  - Producción- Obrero,17
C4R6TH,Aprendices y pasantes (Ley 789 de 2002) - Hombre  - Total Personal Ocupado,NA,Aprendices y pasantes (Ley 789 de 2002) - Hombre  - Total Personal Ocupado,17
C4R6TM,Aprendices y pasantes (Ley 789 de 2002) - Mujer  -Total Personal Ocupado,NA,Aprendices y pasantes (Ley 789 de 2002) - Mujer  -Total Personal Ocupado,17
C5R1C1,Energía comprada (KWH),NA,Energía comprada (KWH),17
C5R1C2,Energía autogenerada (Kwh),NA,Energía autogenerada (Kwh),17
C5R1C3,Cantidad de energía Vendida (Kwh),NA,Cantidad de energía Vendida (Kwh),17
C5R1C4,Total Energía consumida (KWH),NA,Total Energía consumida (KWH),17
C5R1C5,Valor de la Energía vendida,NA,Valor de la Energía vendida,17
C5R1C7,Energía Cogenerada (Kwh),NA,Energía Cogenerada (Kwh),16
C6R1C1,"Existencias Materias primas, materiales y empaques - al final del año anterior",NA,"Existencias Materias primas, materiales y empaques - al final del año anterior",17
