fuente,variable,presencia_en_archivos
EAM,c3r13c1_22,1
EAM,c3r13c1_23,1
EAM,c3r13c1_24,1
EAM,c3r13c1_25,1
EAM,c3r13c1_26,1
EAM,c3r13c1_27,1
EAM,c3r13c1_28,1
EAM,c3r13c1_29,1
EAM,c3r13c1_3,1
EAM,c3r13c1_30,1
EAM,c3r13c1_31,1
EAM,c3r13c1_32,1
EAM,c3r13c1_33,1
EAM,c3r13c1_34,1
EAM,c3r13c1_35,1
EAM,c3r13c1_36,1
EAM,c3r13c1_37,1
EAM,c3r13c1_38,1
EAM,c3r13c1_39,1
EAM,c3r13c1_4,1
EAM,c3r13c1_40,1
EAM,c3r13c1_41,1
EAM,c3r13c1_42,1
EAM,c3r13c1_5,1
EAM,c3r13c1_6,1
EAM,c3r13c1_7,1
EAM,c3r13c1_8,1
EAM,c3r13c1_9,1
EAM,c3r13c2,1
EAM,c3r13c2_10,1
EAM,c3r13c2_11,1
EAM,c3r13c2_12,1
EAM,c3r13c2_13,1
EAM,c3r13c2_14,1
EAM,c3r13c2_15,1
EAM,c3r13c2_16,1
EAM,c3r13c2_17,1
EAM,c3r13c2_18,1
EAM,c3r13c2_19,1
EAM,c3r13c2_2,1
EAM,c3r13c2_20,1
EAM,c3r13c2_21,1
EAM,c3r13c2_22,1
EAM,c3r13c2_23,1
EAM,c3r13c2_24,1
EAM,c3r13c2_25,1
EAM,c3r13c2_26,1
EAM,c3r13c2_27,1
EAM,c3r13c2_28,1
EAM,c3r13c2_29,1
EAM,c3r13c2_3,1
EAM,c3r13c2_30,1
EAM,c3r13c2_31,1
EAM,c3r13c2_32,1
EAM,c3r13c2_33,1
EAM,c3r13c2_34,1
EAM,c3r13c2_35,1
EAM,c3r13c2_36,1
EAM,c3r13c2_37,1
EAM,c3r13c2_38,1
EAM,c3r13c2_39,1
EAM,c3r13c2_4,1
EAM,c3r13c2_40,1
EAM,c3r13c2_41,1
EAM,c3r13c2_42,1
EAM,c3r13c2_5,1
EAM,c3r13c2_6,1
EAM,c3r13c2_7,1
EAM,c3r13c2_8,1
EAM,c3r13c2_9,1
EAM,c3r13c3,1
EAM,c3r13c3_10,1
EAM,c3r13c3_11,1
EAM,c3r13c3_12,1
