NORDEMP,n_establecimientos_con_exposicion,exposicion_min,exposicion_max,rango_max_menos_min,desviacion_estandar,n_departamentos_distintos
866152,2,0,0.9411764705882353,0.9412,0.6655,1
143524,18,0.0625,1,0.9375,0.2903,11
984281,10,0.0625,1,0.9375,0.3709,8
976174,8,0.1485148514851485,0.9629629629629629,0.8144,0.2735,5
979165,3,8.319467554076539e-4,0.7957371225577264,0.7949,0.4012,1
983814,10,0.020100502512562814,0.8029197080291971,0.7828,0.2344,9
982066,8,0,0.7727272727272727,0.7727,0.2525,7
984067,2,0.2,0.9641434262948207,0.7641,0.5403,2
986298,4,0.03508771929824561,0.7818181818181819,0.7467,0.3734,2
867206,18,0.17647058823529413,0.9090909090909091,0.7326,0.1897,9
982073,6,0.207035175879397,0.9310344827586207,0.724,0.2767,6
985844,3,0.17921146953405018,0.8888888888888888,0.7097,0.3615,1
987259,2,0.1485148514851485,0.8571428571428571,0.7086,0.5011,1
984831,2,0.18181818181818182,0.8666666666666667,0.6848,0.4843,2
146934,3,0.3181818181818182,1,0.6818,0.3415,2
982059,7,0,0.6779661016949152,0.678,0.2127,7
145944,3,0.3333333333333333,1,0.6667,0.3761,3
979740,2,0.14285714285714285,0.7941176470588235,0.6513,0.4605,1
147141,2,0.1111111111111111,0.75,0.6389,0.4518,2
982058,7,0.1111111111111111,0.75,0.6389,0.2174,7
983906,28,0.39215686274509803,1,0.6078,0.1808,16
142436,11,0,0.6,0.6,0.2653,10
145929,8,0,0.6,0.6,0.2094,7
984080,3,0.04851752021563342,0.6458333333333334,0.5973,0.3413,3
983576,3,0.3333333333333333,0.9166666666666666,0.5833,0.2966,2
146081,2,0.39215686274509803,0.9473684210526315,0.5552,0.3926,1
978380,4,0.22857142857142856,0.7801418439716312,0.5516,0.2298,2
980662,4,0.2684931506849315,0.7908814589665654,0.5224,0.2297,3
979137,8,0.12903225806451613,0.6423357664233577,0.5133,0.1817,4
142329,2,0.1485148514851485,0.6590909090909091,0.5106,0.361,1
986464,2,0.49036402569593146,1,0.5096,0.3604,1
979592,3,0.5,1,0.5,0.2515,1
982689,2,0.17936117936117937,0.6756756756756757,0.4963,0.3509,2
982141,4,0.34394904458598724,0.8333333333333334,0.4894,0.2277,4
982063,3,0.4107142857142857,0.9,0.4893,0.2523,3
978229,2,0.1806853582554517,0.6666666666666666,0.486,0.3436,2
975749,2,0,0.4827586206896552,0.4828,0.3414,2
982101,2,0.2413793103448276,0.7142857142857143,0.4729,0.3344,2
984365,3,0.25,0.7222222222222222,0.4722,0.2362,2
865773,4,0.3563218390804598,0.8267716535433071,0.4704,0.2208,4
982145,2,0,0.4657534246575342,0.4658,0.3293,2
975706,6,0.09134615384615384,0.5565217391304348,0.4652,0.1781,4
980013,2,0.4379391100702576,0.8888888888888888,0.4509,0.3189,2
867627,4,0.40082644628099173,0.8478260869565217,0.447,0.2039,2
141238,2,0.3656716417910448,0.8103448275862069,0.4447,0.3144,1
982174,6,0.31985294117647056,0.7619047619047619,0.4421,0.1616,6
